Author,BookName,Press,Price,Score,Time
"
            苏童",妻妾成群, 上海文艺出版社, 23.00元, 8.2 , 2004-8
"
            龙应台",野火集, 文汇出版社, 25.00元, 8.8 , 2005-8
"
                [美]
            吴军",浪潮之巅, 电子工业出版社, 55.00元, 9.1 , 2011-8
"
                [日]
            原研哉",设计中的设计, 山东人民出版社, 48.00元, 8.6 , 2006-11
"
                [奥地利]
            弗朗茨·卡夫卡",变形记, 浙江文艺出版社, 16.00元, 8.4 , 2003-4
"
                [美]
            E·B·怀特",夏洛的网, 上海译文出版社, 17.00元, 8.5 , 2004-5
"
            林语堂",京华烟云, 陕西师范大学出版社, 43.00元, 8.5 , 2005-7
"
                [美]
            卡森·麦卡勒斯",心是孤独的猎手, 上海三联书店, 25.00元, 8.5 , 2005-8
"
            鲁迅",狂人日记, 京华出版社, 39.80元, 8.7 , 2006-3
"
                [法]
            儒尔·凡尔纳",海底两万里, 译林出版社, 19.50元, 8.4 , 2002-9
"
                [捷克]
            米兰·昆德拉",生活在别处, 上海译文出版社, 25.00元, 8.4 , 2004-5
"
                [美]
            凯利·麦格尼格尔",自控力, 文化发展出版社(原印刷工业出版社), 39.80元, 8.3 , 2012-8
"
            沧月",七夜雪, 北京十月文艺出版社, 25.00元, 8.4 , 2006-10
"
                [美]
            哈珀·李",杀死一只知更鸟, 译林出版社, 32.00元, 9.2 , 2012-9
"
                [美]
            乔治·R·R·马丁",冰与火之歌（卷一）, 重庆出版社, 68.00元, 9.3 , 2005-5
"
            鲁迅",朝花夕拾, 人民文学出版社, 0.25元, 8.7 , 1972年4月
"
            李笑来",把时间当作朋友, 电子工业出版社, 32.00元, 8.5 , 2009-6
"
            钱穆",中国历代政治得失, 生活·读书·新知三联书店, 12.00元, 9.1 , 2001
"
            金庸",倚天屠龙记(共四册), 三联书店, 0, 8.5 , 1999-04
"
                [日]
            村上春树",世界尽头与冷酷仙境, 上海译文出版社, 23.00元, 8.6 , 2002-12
"
            刘慈欣",球状闪电, 四川科学技术出版社, 22.00元, 8.7 , 2005-6
"
                [美]
            沃尔特·艾萨克森",史蒂夫·乔布斯传, 中信出版社, 68.00元, 8.7 , 2011-10-24
"
                [法]
            雨果",悲惨世界（上中下）, 人民文学出版社, 66.00元, 8.9 , 1992-6
"
            金庸",鹿鼎记（全五册）, 广州出版社 花城出版社, 108.00元, 8.8 , 2008-3
"
                [美]
            鲁思·本尼迪克特",菊与刀, 商务印书馆, 16.00, 8.2 , 1990-6
"
            林达",历史深处的忧虑, 生活·读书·新知三联书店, 19.00元, 9.0 , 1997-5
"
                [日]
            尾田荣一郎",海贼王, 浙江人民美术出版社, 7.50元, 9.5 , 2007-11
"
            乔一",我不喜欢这世界，我只喜欢你, 湖南少年儿童出版社, 29.80元, 8.0 , 2015-5-1
"
            关维兴 图",城南旧事, 中国青年出版社, 16.00元, 8.9 , 2003-7
"
            张爱玲  ",金锁记, 哈尔滨出版社, 13.5元, 8.5 , 2005-6
"
            林奕含",房思琪的初恋乐园, 北京联合出版公司, 45.00元, 9.2 , 2018-1
"
                [日]
            高木直子",一個人住第5年, 大田, NT$220, 8.4 , 2004-12-1
,阿Q正传, 上海书店出版社, 14.50元, 8.7 , 2003-7
"
                [英]
            蕾秋·乔伊斯",一个人的朝圣, 北京联合出版公司, 32.80, 8.1 , 2013-9-1
"
            蒋勋",孤独六讲, 广西师范大学出版社, 36.00元, 8.1 , 2009-10-1
"
            江南",此间的少年, 华文出版社, 25.00元, 8.4 , 2004-1
"
            幾米",月亮忘記了, 格林, NT$ 299, 8.6 , 2000-2-1
,如何阅读一本书, 商务印书馆, 38.00元, 8.4 , 2004-1
"
            金庸",射雕英雄传（全四册）, 生活·读书·新知三联书店, 47.00元, 8.9 , 1999-04
"
                [法]
            居伊·德·莫泊桑",羊脂球, 北京燕山出版社, 13.50元, 8.1 , 2007-6
"
                [法]
            雨果",巴黎圣母院, 人民文学出版社, 22.50元, 8.3 , 1982-6
,这些都是你给我的爱, 长江文艺出版社, 24.80元, 8.4 , 2010-3
"
            吴念真",这些人，那些事, 译林出版社, 28.00元, 8.8 , 2011-9
"
                [美]
            斯蒂芬·金",肖申克的救赎, 人民文学出版社, 29.90元, 9.1 , 2006-7
"
                [法]
            阿尔贝·加缪",局外人, 上海译文出版社, 22.00元, 9.0 , 2010-9
"
                [英]
            丹尼尔·笛福",鲁滨逊漂流记, 广西民族出版社, 9.20元, 8.0 , 2002-1
"
                [英]
            阿加莎·克里斯蒂",东方快车谋杀案, 人民文学出版社, 18.00元, 9.0 , 2006-5
"
                [日]
            村上春树",当我谈跑步时我谈些什么, 南海出版公司, 25.00, 8.1 , 2009-1
"
                [以色列]
            尤瓦尔·赫拉利",人类简史, 中信出版社, CNY 68.00, 9.1 , 2014-11-1
,亲爱的安德烈, 人民文学出版社, 26.00, 8.7 , 2008-12
"
                [美]
            欧内斯特·海明威",老人与海, 上海译文出版社, 8.20元, 8.3 , 1999-10
,呼啸山庄, 人民文学出版社, 27.30元, 8.4 , 1999-01-01
"
                [美]
            卡勒德·胡赛尼",灿烂千阳, 上海人民出版社, 28.00元, 8.8 , 2007-9
"
                [日]
            村上春树",海边的卡夫卡, 上海译文出版社, 25.00元, 8.1 , 2003-4
"
                [巴西]
            保罗·柯艾略",牧羊少年奇幻之旅, 南海出版公司, 25.00元, 8.6 , 2009-3-1
"
            今何在",悟空传, 光明日报出版社, 14.80元, 8.4 , 2001-4
"
                [英]
            J·K·罗琳",哈利·波特与凤凰社, 人民文学出版社, 59.00元, 8.7 , 2003-9
"
                [英]
            J·K·罗琳",哈利·波特与火焰杯, 人民文学出版社, 39.80元, 9.0 , 2001-5
"
            沈从文",边城, 北岳文艺出版社, 12.00元, 8.6 , 2002-4
"
            姜戎",狼图腾, 长江文艺出版社, 32.00元, 8.3 , 2004-4
"
                [英]
            J·K·罗琳",哈利·波特与阿兹卡班的囚徒, 人民文学出版社, 26.50元, 8.9 , 2000-9
"
                [哥伦比亚]
            加西亚·马尔克斯",霍乱时期的爱情, 南海出版公司, 39.50元, 9.0 , 2012-9-1
"
                [法]
            玛格丽特·杜拉斯",情人, 上海译文出版社, 20.00元, 8.1 , 2005-7
"
                [日]
            东野圭吾",恶意, 南海出版公司, 18.00, 8.4 , 2009-6
"
                [英]
            威廉·萨默塞特·毛姆",月亮和六便士, 上海译文出版社, 15.00元, 9.0 , 2006-8
"
            龙应台",目送, 生活·读书·新知三联书店, 39.00元, 8.7 , 2009-10
"
            张爱玲  ",倾城之恋, 花城出版社, 11.00, 8.5 , 1997-3-1
"
            余华",活着, 南海出版公司, 12.00元, 9.1 , 1998-5
"
                [日]
            村上春树",挪威的森林, 上海译文出版社, 18.80元, 8.0 , 2001-2
"
                [日]
            东野圭吾",嫌疑人X的献身, 南海出版公司, 28.00, 8.9 , 2008-9
"
            刘慈欣",三体, 重庆出版社, 23.00, 8.8 , 2008-1
"
            钱钟书",围城, 人民文学出版社, 19.00, 8.9 , 1991-2
"
                [法]
            圣埃克苏佩里",小王子, 人民文学出版社, 22.00元, 9.0 , 2003-8
"
                [日]
            东野圭吾",解忧杂货店, 南海出版公司, 39.50元, 8.6 , 2014-5
"
                [日]
            东野圭吾",白夜行, 南海出版公司, 29.80元, 9.1 , 2008-9
